rating,text,title,user.userLocation.name,user.userLocation.shortName,user.username,publishedDate,X,X.1,X.2,X.3,X.4,X.5,sentiment,year,nationality
5,"Ate here yesterday based on good reviews. But it was even better than expected. A small but very cozy restaurant. A choice of at least 30 different baked potatoes with various fillings. 
We had the chicken with pineapple.  A really large portion and that for 24 pln, €6. The service is also very friendly, but that is normal in Poland. 
Rarely have I eaten such a delicious baked and filled potato.",Insanely good,"Beets, The Netherlands",Beets,Fred-kapper,2017-02-15,,,,,,,pos,2017.0,Foreigner
5,"Potato dishes in all possible variations. Good, fresh, very tasty. 
Menu in many languages, friendly staff.
Very good and very cheap.","Very tasty, recommended.","Berlin, Germany",Berlin,Lost-Thomas-Berlin,2015-07-11,,,,,,,pos,2015.0,Foreigner
5,A huge selection of baked potatoes - everyone will find something for themselves. They are very well prepared and the portions are huge. The service was very nice and helpful. I definitely recommend it!,Very tasty,"Bialystok, Poland",Bialystok,justynas134,2018-07-01,,,,,,,pos,2018.0,Poland
5,"When I'm in Gdańsk, I always try to visit ""Bar pod Rybą"". They have been maintaining a high level for years. Potato with stuffing is their specialty. I recommend it! quality. There are at least a dozen versions, and you can also combine several types of cold or warm stuffing in one dish.","One potato, many possibilities","Bialystok, Poland",Bialystok,jolsen62,2017-07-15,,,,,,,pos,2017.0,Poland
5,"Fantastic food! We checked the beginner's set, I recommend it. Additionally, nice service and good location. Standard prices for such potatoes - PLN 20-30 per portion",Great!,"Bibione, Italy",Bibione,michu_2017,2017-07-11,,,,,,,pos,2017.0,Foreigner
4,Jacket potatoes with lots of toppings! very good if you're hungry and on a bit of a budget. Service was quick and friendly,Jacket potatoes were great,"Bicester, United Kingdom",Bicester,Lucy_1232014,2016-06-28,,,,,,,pos,2016.0,Foreigner
5,"I love this place. Everything is very good here, especially the potatoes. They do wonders with such a simple and not very pretty vegetable here. The potatoes in this restaurant are amazing. I recommend potatoes with spinach and egg and those Białowieża style, i.e. with chanterelle sauce. Potato pancakes are also very good, fresh, golden, simply delicious. In this place you can eat delicious things for very reasonable money. 
I highly recommend it.",One of the best places in Gdańsk,"Bielsko-Biala, Poland",Bielsko-Biala,Ania955,2019-04-16,,,,,,,pos,2019.0,Poland
5,"this place is not fine dining mostly jacket spuds and potato pancakes on offer but what they do they do well, in a beautiful street plenty of outside seating and a menu of fillings as long as your arm , service not good but this place was packed to rafters and at the end of the day not expensive .",great cheap eat,"Blackpool, United Kingdom",Blackpool,bobbyblade,2015-08-14,,,,,,,pos,2015.0,Foreigner
5,"I've never thought that you can create so much out of a potatoe. Please do yourself a favour and try the baked potatoes with different fillings. You can have them for a very favourable price in a very beautiful and lively street (Piwna street). It's so delicious and you won't regret it.
Me and my girlfriend loved it !",Great Potatoe Creations,"Bochum, Germany",Bochum,martinz831,2019-07-30,,,,,,,pos,2019.0,Foreigner
3,"Cozy place in the center of Gdansk. Very hot. Menu based on potatoes accompanied by various combinations of condiments presented on the same plate. The menu in English indicates dishes suitable for vegetarians 🍃 and spicy ones 🌶. Everything well explained. Nutritious dish, a bit particular, worth trying. It offers regional and imported beers. Average prices for the place. Fast service. Advised. ",Trip to Gdansk,"Bolzano, Italy",Bolzano,FiorenzaM327,2017-04-24,,,,,,,pos,2017.0,Foreigner
4,"Very tasty potatoes and very big. The caffee was good as well. 
The only problem was we were told to go to the underground floor because there were very few floors, and to get there you have to go out and enter thru a different door. It’s basically not connected. And they have no idea of how is the other floor doing, so when we got there it was super crowded and you could barely walk/move. The staff was incredibly rude and we were ignored not only before, but also while trying to talk to the guy behind the counter. He gave us short and rude answer with barely looking at us. 
So we went upstairs again, and this time was even more full so we got the last table which was in a pretty awkward place. Anyways, before our food was served someone else left and we could take their place. 
",Very tasty potatoes and very,"Boras, Sweden",Boras,M1R14M,2020-01-14,,,,,,,pos,2020.0,Foreigner
4,"I’d like to give this place five stars for value and taste but service was pretty spotty. Our order was taken pretty quickly but hubs got his meal ( delicious fish and fries and a generous salad) at least ten minutes before my gigantic potato. Potato was tasty but a bit spicy and took a LONG time to arrive. Cannot rave enough about sitting outside in the sunshine on this quaint street enjoying our meal. Again when it came time to pay, Hubs finally took the check in to get his change. Setting, cost and taste outweigh slow service but not by much",Pack your patience...,"Boston, Massachusetts",Boston,tunasf,2018-09-20,,,,,,,pos,2018.0,Foreigner
4,"We tried this for dinner - great treat!  A large portion of the menu is for jacket russet potatoes.  You choose you meat, vegs, fillings and sauces.
The potatoes are prepared to order and took a little while but so worth the wait!
One of us had chicken while the other chose hamburger - both were wonderful.
The potatoes are huge (two together) and one order would feed two people easily - but you wouldn't get to try two combos.
We paid $28 for two meals, four cokes (small bottles) and two beers.  
Definitely give this place a try!",Great overstuffed potatoes are speciality of the house,"Boston, Massachusetts",Boston,Tuesflight11,2018-08-07,,,,,,,pos,2018.0,Foreigner
5,"A great discovery. A warm welcome and good, basic but delicious dishes. The place is cold from the outside, it's hard to get in, but once inside you feel very good. Thank you to the nice young waitresses, very nice.. I recommend for a visit to Gdansk.",To visit absolutely,"Bouchain, France",Bouchain,devilou69,2024-01-14,,,,,,,pos,2024.0,Foreigner
3,"At the beginning it was told that the cooking could take 30 minutes. But why waiting so long with the beers?
The food tasted well although one plate was not as ordered.
A leson in service and accuracy would help I guess.
The pricing is reasonable.",Dinner at Pod Ryba,"Breda, The Netherlands",Breda,FarAway722431,2017-07-23,,,,,,,pos,2017.0,Foreigner
5,"We went to this bar specifically. And he didn't disappoint us. We ordered different dishes to try different sauces and different toppings. We took baked potatoes: 1. with mushrooms, 2. with shrimp, 3. with cheeses. Servings: 300g. cost 20-22 PLN ($5) Everything was sooooo delicious. We took both dark and light beer (Amber) ($2.25 0.5 l) - excellent. Gzhane wine ($3) was moderately rich and more interesting than at ski resorts. The staff speaks both English and Russian, so we didn’t experience any problems. 
The next day we tried to find another bar in the center, we went to two, but our feet still led us to the place we liked. The hall is a bit small, but you can always reserve it.",Decent place,"Brest, Belarus",Brest,kayk_MIP,2017-02-11,,,,,,,pos,2017.0,Foreigner
1,"A place to avoid:
- fish soup a clear left over
- hot potato - avoid mexican mest mix
- potato cakes - too soft
- drinks brought without a sequence (beer served 20mins after other drinks snd meals)",Less than a week's worth of cuisine,"Brinchang, Malaysia",Brinchang,Kroczek,2017-08-10,,,,,,,neg,2017.0,Foreigner
3,"The place is cramped and stuffy. Very nice and professional service.
We ordered fish soup - It's quite good, but it has more leeks and carrots than fish
And potatoes stuffed with chanterelles and sausage
The potato is tasty, but addictive
Despite the name, the restaurant is dominated by potato dishes, not fish. 
He'll get away with it","Tight, stuffy","Brno, Czech Republic",Brno,162bartekd,2016-10-15,,,,,,,pos,2016.0,Foreigner
5,"We tried this restaurant trinking they serve something traditional Polish, but they rather offer meals consisting from roasted potatos with filling and dip on the top of it. Simple, great looking and delicious!",Reasonable prices for very good food,"Brno, Czech Republic",Brno,785jankak,2016-07-13,,,,,,,pos,2016.0,Foreigner
5,"We went to Bar Pod Ryba to have a good meal after 5h spent in a museum and by then, we were properly famished. So this choice was more than inspired since portions at this restaurant are not only delicious but also fairly large!
My boyfriend had herring filling accompanied with Kvas (the fermented drink from rye bread), I had pork and cabbage in a tomato sauce and a local beer. Both were excellent. Service was fast and friendly.
For this type of money in central Gdansk, this is very good value indeed.",Never had a better potato in my life!,"Brussels, Belgium",Brussels,sandrinetfr,2017-06-14,,,,,,,pos,2017.0,Foreigner
4,"Great little potato restaurant, with lots of choice and varied sauces. Not too expensive either but at the same time they are potatoes. Maybe a small downside for me, a little too much sauce in the potato but that's a personal taste... I should have asked, I'm sure they would have responded to my request! To do because original.",Happy potatoes!,"Brussels, Belgium",Brussels,Alexchococ,2017-05-28,,,,,,,pos,2017.0,Foreigner
5,"What do you think of when someone tells you about ""awesome potatoes"" somewhere in Gdańsk? You may think this person is crazy but this place is definitely worth a visit. Plenty of choice, very good prices, good service and you won't leave that place feeling hungry. ","Nice localisation, ""weird"" food","Brussels, Belgium",Brussels,kenix11235,2016-08-04,,,,,,,pos,2016.0,Foreigner
5,"Delicious food, nice setting, very nice service. We were recommended traditional courses and we were not disappointed. Good coffee too!",Great lunch,"Bucharest, Romania",Bucharest,Andreea_Hristu,2015-08-28,,,,,,,pos,2015.0,Foreigner
5,"Attractive place, tasty food... delicious potatoes with additions (crayfish and fish), cold local beer... All this at a reasonable price, which is not so obvious in this location ",Tasty food in a top location,"Bukhara, Uzbekistan",Bukhara,864piotrA,2020-08-18,,,,,,,pos,2020.0,Foreigner
3,"The menu mainly consists of potatoes, the name is a bit misleading.
Dishes poorly seasoned, meat hard.
Na+ winter tea!",May be.,"Bydgoszcz, Poland",Bydgoszcz,ljanowski,2018-02-18,,,,,,,pos,2018.0,Poland
2,"Nice staff and poor food. Essentially baked potatoes with ""goop"" filling. I had the cod with the shoestring fries....not real home style French fries....Sorry guys but it was far from what travel writer Rick Steeves rated you as...the decor was fine...
Disappoint from Canada.....",RICK STEEVES WAS DEAD WRONG ON THIS PLACE!!!!!,Canada,Canada,111dans,2017-09-15,,,,,,,neg,2017.0,Foreigner
4,"We had dinner two days at this restaurant, the menu is based on stuffed potatoes with a lot of options. The one filled with fried eggs and the one with tuna is recommended. The dish is abundant, the soups are also very delicious. Very cheap for about six euros drink plus potato dish.",Original and delicious stuffed potatoes,"Cantabria, Spain",Cantabria,axelin,2015-08-17,,,,,,,pos,2015.0,Foreigner
5,"We asked the souvenir shopkeeper for a typical place, she recommended Pod Ryba....wow!!!! In the center, very spartan but alternative and welcoming furnishings. Excellent cuisine, for potato lovers it is a must. We diners (5) tried the stuffed potato ""omelette"" ... delicious, the beers? Very very good. Recommended",Polish heat,"Casalmaggiore, Italy",Casalmaggiore,altramarea,2016-12-18,,,,,,,pos,2016.0,Foreigner
5,"The main dish is the stuffed potato, the bomb! I only went there once, but the next time I go to Gdansk it will definitely be the first restaurant I go to eat in.",Optimal,"Castellamonte, Italy",Castellamonte,eprovvisionato,2018-03-02,,,,,,,pos,2018.0,Foreigner
4,This have to be the only place I’ve had baked potatoes with caviar! It actually tasted quite delicious.,Baked potetos in all shapes,"Central Norway, Norway",Central Norway,Janerlve,2017-11-14,,,,,,,pos,2017.0,Foreigner
5,"Tasty potatoes in every version. Large portions, well-composed sauces. I recommend the dishes that I have tried, i.e. baked potato with egg, spinach and gorgonzola, ""same health"" with gorgonzola, and salmon cake. Curd complements the taste of dishes. Efficient and competent service. Tasty...",Tasty...,"Central Poland, Poland",Central Poland,yanooshek,2016-08-12,,,,,,,pos,2016.0,Poland
4,"Food ok, tasty and portions arebvery large, enough for 2 pers. Servis and stuff nice, serve of food can looks more efective.",Nice place for good portion,"Cesky Tesin, Czech Republic",Cesky Tesin,D7049FQromans,2018-08-02,,,,,,,pos,2018.0,Foreigner
2,"We ordered soup, potato and potato pancakes. The main courses were edible, nicely presented, I didn't get the soup, minus for misleading the customer, the drink capacity on the menu is different and in reality you get 200 ml in a mini glass.",2/5,"Chrzanow, Poland",Chrzanow,93andrzejz,2017-04-29,,,,,,,neg,2017.0,Poland
5,"In all the Baltic countries I try herring with potatoes: believe me, this one is the best!!!! 
Recommend is not the right word. I HIGHLY RECOMMEND!
not expensive and very tasty+",The best potatoes with herring,"Coimbra, Portugal",Coimbra,619julian,2016-05-06,,,,,,,pos,2016.0,Foreigner
5,Great place for lunch . Cosy friendly restaurant and the jacket potatoes were huge with so many options ! So filling . Would recommend,Huge jackets potatoes will fill you up !,"Colchester, United Kingdom",Colchester,Claire33m,2023-11-18,,,,,,,pos,2023.0,Foreigner
5,"Super good idea. Plenty of options, including many vegetarian options, which can otherwise be difficult to find in Gdansk.
Good service and nice atmosphere.",Good concept,"Copenhagen, Denmark",Copenhagen,AstaC26,2017-11-16,,,,,,,pos,2017.0,Foreigner
5,"Oh my god... the humble baked potato is the focus of this menu,and boy does it shine. I don't know what lab the get these potatoes from, but they are enormous! 
I had the pirate pork, which was almost a bigos stew on the potato, and my girlfriend had a taco potato, which was bacon,  garlic mayonnaise, cheese and chives. Both were spectacularly good, and so filling.
Come here, set up a tent and stay here, it is that good.","Unbelievably good value, delicious, simple food","Cork, Ireland",Cork,RedHood1,2017-06-10,,,,,,,pos,2017.0,Foreigner
5,Very friendly staff and speak English. Saw this on TripAdvisor and decided to give it a go. We were not disappointed. Plenty of choice so I picked the herring. Absolutely delicious.,Spuds you'll like!!,"Cromer, United Kingdom",Cromer,592stephenc,2017-03-15,,,,,,,pos,2017.0,Foreigner
5,"Very tasty food, nice service. Everything was served quickly and warm. I recommend it to everyone who wants to try something different than just fish by the sea :)",I recommend,"Dabrowa Gornicza, Poland",Dabrowa Gornicza,edyglodz,2021-10-03,,,,,,,pos,2021.0,Poland
5,"In this restaurant I recommend the baked potato, served in various ways.  I'm sure it's fresh and tasty.  And nicely presented.",A restaurant worth recommending.,"Debica, Poland",Debica,marekk136,2017-06-26,,,,,,,pos,2017.0,Poland
2,"Atmospheric place. The menu is mainly based on baked potato days and potato pancakes. The dishes are not cheap in relation to their quality. There was only one toilet, and when I visited there was a constant queue and its appearance was terrible. To sum up, it's not worth it for the center of Gdańsk.",Poor at a high price.,"Debica, Poland",Debica,kasiak635,2017-06-18,,,,,,,neg,2017.0,Poland
5,"This is a perfect restaurant to try the typical roast potatoes stuffed with meat, fish, etc... We tried salmon tartar, herring and cream, and meat. All very good and at a good price",Typical roast potatoes stuffed with many things,"Denia, Spain",Denia,62feliper,2015-05-18,,,,,,,pos,2015.0,Foreigner
5,"This restaurant was very handy for our hotel and is off the main square in Gdansk so no pushy sales people trying to get you inside. 
So good we went twice. The first evening we had potato pancakes and the second visit was for jacket/baked potatoes at lunchtime. Good sized portions, great value and the staff were very pleasant too.
If you like beer try the Kozlak (amber) and the Grand (stout) as they are superb!
",Potato heaven!,"Derby, United Kingdom",Derby,RealHoltyboy,2017-04-01,,,,,,,pos,2017.0,Foreigner
5,"The only problem here is finding a table as it's so very, very popular. The emphasis is on ""Jacket"" potatoes as we know them in the UK but the menus says ""Roast"" potatoes.Of course there are other dishes including potato cakes and potato pancakes. Nice wine to go with it, great service and so wonderfully reasonable prices all go to make this a great experience.
For a ""nightcap"" afterwards, cross the road to go to Jozef k and you will NOT be disappointed. Enjoy",Fabulous casual POLISH dining,"Derby, United Kingdom",Derby,MandY1943,2016-10-19,,,,,,,pos,2016.0,Foreigner
5,"This place may not be the fanciest or varied in terms of it's menu (only jacket potatoes) but what it does, it does very well! 
We came here after many hours of walking around Westerplatte outside in the chilly weather, and after eating here, both me and my partner agreed that this was exactly what we needed! Something lovely and wholesome to warm us up. 
The jacket potatoes are a good size with loads of fillings. I had the hungarian sausage option and it was just delicious. 
As with many of the restaurants, cafe's and bars in Gdansk the decor was really cool and it was a lovely cosy place to sit and eat, with a very friendly waitress. 
As long as you go there aware the food options are only baked potatoes, I think you'll enjoy!","Lovely, warming jacket potatoes","Dorking, United Kingdom",Dorking,charlottep740,2017-03-13,,,,,,,pos,2017.0,Foreigner
3,"Very good and tasty local food, but we felt that you got a little bit for the money. 
Pleasant service. ","Good food, cozy place","Drammen, Norway",Drammen,esterezenta_,2017-11-07,,,,,,,pos,2017.0,Foreigner
5,"We went there the evening we arrived and just looked for some fast warm food and a cold beer. We got both very quickly (plus a very unexpected amuse geule) and the potatoes were outstanding. Many different versions to choose from, and the girls in the service were very friendly, the restaurant cozy furnished. Perfect first evening in Gdansk!",Baked Potato,"Drammen, Norway",Drammen,Arns30,2016-03-31,,,,,,,pos,2016.0,Foreigner
5,"We went here for dinner because the restaurant was listed in the guidebook. We weren't disappointed. It offers a super cozy atmosphere, friendly service and a huge selection of baked potatoes with a variety of fillings. A real treat if you like potatoes! We chose the Mexican and the chicken and vegetable filling. That was really, really tasty and we can only recommend it!! The portions are large and definitely sufficient. We'd love to come back!",Recommended for potato lovers!!!,"Dresden, Germany",Dresden,annareh,2020-02-25,,,,,,,pos,2020.0,Foreigner
5,"As long as you like baked potatoes your fine with this bar. Great place. 
Great atmosphere great food. Good price great service",Great lunch,"Edinburgh, United Kingdom",Edinburgh,Aw19709,2017-11-27,,,,,,,pos,2017.0,Foreigner
5,"Good service, lots and well prepared food! Recommend Karolina's potato pancake. Try their ruby ​​beer!",Great food!,"Eskilstuna, Sweden",Eskilstuna,830gabriellec,2017-07-17,,,,,,,pos,2017.0,Foreigner
5,"I had heard from colleagues about the potato being the only thing they eat in Poland but I had to go and try the potatoes as well. This place is amazing on that front! They serve you huge potatoes stuffed with amazing ingredients and all baked to perfection. Really enjoyed my potato with cheese, bacon, cheese, oh and did I mention cheese already!?",The Best Stuffed Potatos ever!,"Espoo, Finland",Espoo,Jiimies,2019-03-19,,,,,,,pos,2019.0,Foreigner
5,"Here you can get very affordable and good baked potatoes with different fillings. You can't get such big potatoes in Finland, and the sauce you choose is well over the top. 
We visited here on a previous trip and it is still on our list of restaurant visits for the next trip!",First class food!,"Espoo, Finland",Espoo,ruusuorapihlaja,2016-01-03,,,,,,,pos,2016.0,Foreigner
5,"Interesting approach to potatoes, which is tasty too! Big portions, tasty additions to potatoes (and there's an option of mixing them). We'd recommend you to try their ""4 seasons"" tea - quite a nice one, both in presentation and taste.",Nice idea and tasty implementation,Europe,Europe,AlexAndMouse,2017-03-12,,,,,,,pos,2017.0,Foreigner
4,"I've never eaten a baked potato as good as here: The three-cheese baked potato with Mexican sauce was absolutely perfect 😊. The portion was on the smallest side, but still really filling.  As an appetizer, they brought those breads on behalf of the house with a small tasty dip of sauce. The prices of potatoes varied between €5-6. A large beer cost €2.50. 
The place is cozy, the locals seem to like it too. The service runs quickly also in English 😊",The best baked potato ever,Finland,Finland,Kimakos,2017-10-23,,,,,,,pos,2017.0,Foreigner
5,"Found a tempting photo in Gdansk in your pocket booklet and we went. The first time there was no free table. So we decided that this is a good sign. Went for a cup of coffee and went back. This time we found a table. We ordered a baked potato and a potato pancake dish. Both were very good with reasonable price. Much nicer than an expensive restaurant. We had to go back a second time for we liked it much. Give it a try, you won't regret! ",Very good food!,Finland,Finland,mh_jp,2017-07-03,,,,,,,pos,2017.0,Foreigner
3,"I had a baked potato with chicken and garlic sauce. The portion was a bit too big for me. It was very tasty and  I can recommend it. The only strange thing is that you have to eat it with just a fork. A knife would be nice. However, the location is good and the prices are affordable.",Filling and tasty,Finland,Finland,sololady2016,2016-12-09,,,,,,,pos,2016.0,Foreigner
5,"Potato, how trite and simple. But how delicious!
 Dozens of variations on boiled potatoes filled with various, delicious types of fillings, plus potato pancakes (crispy and perfectly seasoned) make up practically 90% of the menu, but I think it will satisfy most gourmets. The service was very nice and helpful. I recommend it wholeheartedly.",Simplicity is the key to success,"Frasnes-lez-Buissenal, Belgium",Frasnes-lez-Buissenal,juzefm,2017-10-11,,,,,,,pos,2017.0,Foreigner
5,Got 3 different baked potatoes with filling and a potato pancake. Everything was just perfect. We can come back to this at another time.,Excellent eatery,"Frederikshavn, Denmark",Frederikshavn,93s_renj,2019-11-08,,,,,,,pos,2019.0,Foreigner
5,"We had heard of the resratuarant, but did not look for it. But we just stumbeled over it on a rainy night Coloseum tomour apartement. The food was great, writers where great, quick servis. Wood go there again. Badedrakt potaoes with several differensiert fillings.",Fantastic potato dishes,"Fredrikstad, Norway",Fredrikstad,janeannl2016,2019-10-25,,,,,,,pos,2019.0,Foreigner
5,... and also a lot of vegetarian food available! Waitress nice. Prices were completely okay. Secret advice for a drink:  butter milk = sour milk,Food was very good,"Fulda, Germany",Fulda,timob454,2017-06-28,,,,,,,pos,2017.0,Foreigner
5,"I had a baked potato with Mexican beef. The meat was really good and spicy with lots of red peppers. I like spicy food so this dish satisfied my taste buds. 
The restaurant has a cool bar with vintage looking furniture. It was a nice and cozy atmosphere in the restaurant. I had a pleasant evening.",Yummy baked potato,"Gdansk, Poland",Gdansk,foodsandfeelings,2024-07-10,,,,,,,pos,2024.0,Poland
5,"I came here for the first time 3 months ago on a recommendation and I do NOT regret it, the food is delicious. Quickly served drinks and food. The service is wonderful, I have never experienced anything like it before. I HIGHLY RECOMMEND",The opinion,"Gdansk, Poland",Gdansk,aleksandrasQ8790YC,2022-08-01,,,,,,,pos,2022.0,Poland
5,We ordered a potato stuffed with chicken and the other one was stuffed with salmon and it was DELICIOUS! The waiting time was supposed to be 0.5 hour but it was probably 15 minutes which was a plus! We will definitely come back :),Delicious,"Gdansk, Poland",Gdansk,palxlalx,2020-08-26,,,,,,,pos,2020.0,Poland
2,"We have been going to this restaurant for years, before it was moved to Piwna! Yesterday we went again, a big disappointment, the service in the upper room was very, very unpleasant, the waitress with a terrible face barely replied that there were no seats and it wouldn't be there for a long time, in fact she could have said ""go away"" because that's what it sounded like. Downstairs, two gentlemen, quite nice and funny but very clumsy, we got drinks halfway through the ride, after about 40 minutes, each at a different time: a cola, a beer and 2 teas, it's probably nothing complicated. I didn't ask for an extra plate, there was no cutlery, I only got a fork. Potatoes: stuffing ok, but has dropped significantly from the level it was once served, potato overcooked...",We go to this restaurant often,"Gdansk, Poland",Gdansk,malgorzaata23,2020-01-05,,,,,,,neg,2020.0,Poland
5,"The restaurant is geared towards tourists, but this does not prevent regular visits during and outside the season. The prices for potatoes may seem a bit high, but considering the good taste of the dishes and the location of the place, they are at the right level. The service changes frequently, so there is no point in dwelling on this topic.  
I tried other dishes such as fish and pancakes - they were OK. I have my favorite potatoes that I recommend to my friends. The decor of the place could be refreshed, but it also has a positive atmosphere.",Delicious potatoes,"Gdansk, Poland",Gdansk,RomanSkielc,2019-10-09,,,,,,,pos,2019.0,Poland
